TIMESTAMP,TA_F,P_F,PPFD_IN,LE_F_MDS,NEE_VUT_REF,GPP_DT_VUT_REF
20070614,14.767,0,736.2145833,82.0189,-2.19127,11.4109
20070615,18.084,0.1,770.0770833,71.8116,-0.895013,9.13928
20070616,19.814,0,772.4458333,99.6758,-0.41219,8.29194
20070617,18.76,0.5,521.4125,74.128,-1.94188,7.29072
20070618,18.197,0,758.4333333,103.725,-1.90656,8.71613
20070619,19.034,0,760.8270833,94.5676,-0.958249,8.34695
20070620,16.498,1.3,223.8791667,33.2904,-0.889711,6.86756
20070621,18.206,0,617.6041667,96.9555,-2.61355,10.4024
20070622,16.131,2.4,396.8375,85.6742,-1.07554,8.78065
20070623,14.932,0,321.3270833,64.5028,-3.86967,9.28513
20070624,17.721,0,678.75,104.637,-3.62514,11.1925
20070625,18.872,0,592.3104167,76.7467,-2.97558,10.4349
20070626,24.836,0,601.9208333,88.9089,-2.22131,10.218
20070627,24.779,7.8,546.7770833,79.9238,-0.671134,9.68543
20070628,21.101,0.1,395.88125,93.8239,-1.31769,8.49619
20070629,16.529,0,721.6375,111.768,-3.31844,10.1481
20070630,15.617,0,667.3333333,95.8977,-4.60895,10.2978
20070701,14.595,0.3,577.85,83.0519,-6.04771,9.55486
20070702,15.051,3.4,661.275,85.9267,-4.34167,9.39138
20070703,15.94,0,634.0854167,79.0818,-3.81718,8.67044
20070704,18.56,0,480.23125,76.9622,-2.98094,7.92148
20070705,16.862,6.2,163.9020833,23.6902,0.915549,5.34823
20070706,18.315,0.8,462.44375,75.801,-1.81506,10.4535
20070707,18.326,0.4,510.9916667,89.6563,-4.23211,11.923
20070708,17.419,0,471.35625,89.6258,-2.93085,11.4136
20070709,14.144,0.6,239.4604167,48.4342,-1.46938,8.55886
20070710,18.808,0,668.8229167,101.651,-1.70285,12.7547
20070711,19.458,1,222.4291667,35.2852,-0.73934,7.61071
20070712,20.977,3.2,572.5479167,122.862,-1.88148,10.58
20070713,18.861,0.4,522.0625,110.04,-1.98272,11.2637
20070714,18.709,0,606.0166667,88.7271,-3.22609,12.4323
20070715,19.541,0.8,282.31875,58.8969,-2.086,8.76873
20070716,20.457,0,658.7333333,97.6187,-3.03769,12.131
20070717,20.709,0,634.2916667,92.9338,-1.56031,10.9112
20070718,17.896,3,121.94375,3.92444,2.09901,5.55626
20070719,17.365,7.8,158.5958333,20.6542,1.69408,4.69912
20070720,17.971,2.9,129.4291667,6.76279,2.89313,3.31755
20070721,18.42,0.1,421.3270833,101.99,-3.62949,7.95654
20070722,20.028,0,629.9416667,115.437,-2.02058,9.72005
20070723,19.616,0,464.65,75.3342,-3.11671,10.778
20070724,21.288,0.2,375.325,66.6574,-1.1267,11.1859
20070725,23.684,0,612.79375,97.182,-1.26418,12.2787
20070726,24.905,0,633.0625,99.3884,-0.23814,11.6662
20070727,25.488,0,602.43125,95.0021,-0.438943,10.165
20070728,23.111,0,396.13125,73.1825,-3.23801,9.80886
20070729,23.25,0.8,482.95625,86.7596,-1.71626,11.0077
20070730,22.173,0.5,522.5958333,89.0361,-0.21841,10.57
20070731,23.254,0,632.2,103.657,-0.474414,9.48798
20070801,22.759,0,667.6125,96.0243,-0.520707,9.3143
20070802,25.148,0,634.675,95.5339,-1.23307,8.01821
20070803,25.227,4,498.50625,76.5615,-0.742973,6.96199
20070804,22.832,0.3,461.40625,85.5162,-1.98871,7.22626
20070805,19.394,0,621.2270833,95.4768,-2.76536,9.10594
20070806,17.085,4.6,310.6708333,36.3768,0.501096,5.58367
20070807,19.742,0,503.0708333,95.6756,-1.48785,7.89301
20070808,17.415,10.7,136.05625,24.0274,2.18448,3.70375
20070809,17.831,0,657.0583333,122.593,-2.69518,9.69644
20070810,18.51,0,513.6645833,81.0883,-3.65229,10.4257
20070811,20.695,0,576.6958333,83.1169,-2.5254,11.3571
20070812,22.083,1,543.56875,80.1592,-2.65184,10.7856
20070813,20.632,1.5,380.9708333,75.6776,-1.26588,9.22527
20070814,16.621,0,482.9958333,82.9449,-4.23869,10.7745
20070815,17.08,0.2,207.0875,20.4199,-2.37306,7.43651
20070816,19.219,0.1,429.4645833,70.2625,-4.25275,8.95249
20070817,18.665,0.3,633.3291667,101.202,-2.26477,8.77027
20070818,15.327,0.8,401.0708333,65.3113,-2.39785,6.29138
20070819,13.958,0,591.9479167,80.5269,-3.39835,7.62798
20070820,14.28,0,522.0145833,71.8618,-3.8703,6.85371
20070821,15.503,0,633.0979167,67.9442,-2.37895,7.56659
20070822,16.699,0,629.1354167,57.959,-1.82043,8.04492
20070823,15.953,0,348.51875,53.6603,-2.6109,6.61503
20070824,18.994,9.8,95.84791667,4.08828,2.78616,3.5764
20070825,22.998,1.5,414.74375,80.4342,-2.085,9.0142
20070826,22.299,0,411.7020833,83.9726,-2.12176,7.48782
20070827,18.936,0,575.65625,90.4781,-0.87551,7.95448
20070828,18.58,0,583.2520833,80.4388,-1.12274,8.69625
